,source,target,edge,text
578,P1,P1.12,,
579,P1,P1.6,,
580,P1,P1.8,,
581,P1,P1.1,,
582,P1,P1.5,,
583,P1,P1.4,,
584,P1,P1.9,,
585,P1,P1.10,,
586,P1,P1.7,,
587,P1.3.16,,,
588,P1.3.17,,,
589,P1.10.13,,,
590,P1.3.18,,,
591,P1.12.2,P1.12.2.1,,
592,P1.12.2,P1.12.2.2,,
593,P1.12.2,P1.12.2.3,,
594,P1.12.2,P1.12.2.4,,
595,P1.12.2,P1.12.2.5,,
596,P1.12.2,P1.12.2.6,,
597,P1.12.2,P1.12.2.7,,
598,P1.12.2,P1.12.2.8,,
599,P1.12,P1.12.2,,
600,P1.12,P1.12.3,,
601,P1.12,P1.12.4,,
602,P1.12,P1.12.5,,
603,P1.12,P1.12.6,,
604,P1.12,P1.12.7,,
605,P1.12,P1.12.8,,
606,P1.12,P1.12.9,,
607,P1.12,P1.12.10,,
608,P1.12,P1.12.11,,
609,P1.12,P1.12.12,,
610,P1.12,P1.12.13,,
611,P1.12,P1.12.14,,
612,P1.12,P1.12.15,,
613,P1.12,P1.12.16,,
614,P1.12,P1.12.17,,
615,P1.12,P1.12.18,,
616,P1.12,P1.12.19,,
617,P1.12,P1.12.20,,
618,P1.12,P1.12.21,,
619,P1.12,P1.12.22,,
620,P1.12,P1.12.24,,
621,P1.12,P1.12.25,,
622,P1.12,P1.12.26,,
623,P1.12,P1.12.27,,
624,P1.12,P1.12.28,,
625,P1.12,P1.12.29,,
626,P1.12,P1.12.30,,
627,P1.12,P1.12.31,,
628,P1.12,P1.12.32,,
629,P1.12,P1.12.33,,
630,P1.12,P1.12.34,,
631,P1.12.29,,,
632,P1.2.11,,,
633,P1.12.30,,,
634,P1.3.19,,,
635,P1.5.4,,,
636,P1.12.31,,,
637,P1.1.5,,,
638,P1.12.32,,,
639,P1.6.9,,,
640,P1.12.33,,,
641,P1.7.13,,,
642,P1.12.34,,,
643,P1.3.20,,,
644,P1.12.35,,,
645,P1.10.14,,,
